,ds,y
1331,1995-07-09,0.0
1332,1995-07-16,0.0
1333,1995-07-23,0.0
1334,1995-07-30,0.0
1335,1995-08-06,0.0
1336,1995-08-13,0.0
1337,1995-08-20,0.0
1338,1995-08-27,0.0
1339,1995-09-03,0.0
1340,1995-09-10,0.0
1341,1995-09-17,0.0
1342,1995-09-24,0.0
1343,1995-10-01,0.0
1344,1995-10-08,0.0
1345,1995-10-15,0.0
1346,1995-10-22,0.0
1347,1995-10-29,0.0
1348,1995-11-05,0.0
1349,1995-11-12,0.0
1350,1995-11-19,0.0
1351,1995-11-26,0.0
1352,1995-12-03,0.0
1353,1995-12-10,0.0
1354,1995-12-17,0.0
1355,1995-12-24,0.0
1356,1995-12-31,0.0
1357,1996-01-07,0.0
1358,1996-01-14,0.0
1359,1996-01-21,0.0
1360,1996-01-28,0.0
1361,1996-02-04,0.0
1362,1996-02-11,0.0
1363,1996-02-18,0.0
1364,1996-02-25,0.0
1365,1996-03-03,0.0
1366,1996-03-10,0.0
1367,1996-03-17,0.0
1368,1996-03-24,0.0
1369,1996-03-31,0.0
1370,1996-04-07,0.0
1371,1996-04-14,0.0
1372,1996-04-21,0.0
1373,1996-04-28,0.0
1374,1996-05-05,0.0
1375,1996-05-12,0.0
1376,1996-05-19,0.0
1377,1996-05-26,0.0
1378,1996-06-02,0.0
1379,1996-06-09,0.0
1380,1996-06-16,0.0
1381,1996-06-23,0.0
1382,1996-06-30,0.0
1383,1996-07-07,0.0
1384,1996-07-14,0.0
1385,1996-07-21,0.0
1386,1996-07-28,0.0
1387,1996-08-04,0.0
1388,1996-08-11,0.0
1389,1996-08-18,0.0
1390,1996-08-25,0.0
1391,1996-09-01,0.0
1392,1996-09-08,0.0
1393,1996-09-15,0.0
1394,1996-09-22,0.0
1395,1996-09-29,0.0
1396,1996-10-06,0.0
1397,1996-10-13,0.0
1398,1996-10-20,0.0
1399,1996-10-27,0.0
1400,1996-11-03,0.0
1401,1996-11-10,0.0
1402,1996-11-17,0.0
1403,1996-11-24,0.0
1404,1996-12-01,0.0
1405,1996-12-08,0.0
1406,1996-12-15,0.0
1407,1996-12-22,0.0
1408,1996-12-29,0.0
1409,1997-01-05,0.0
1410,1997-01-12,0.0
1411,1997-01-19,0.0
1412,1997-01-26,0.0
1413,1997-02-02,0.0
1414,1997-02-09,0.0
1415,1997-02-16,0.0
1416,1997-02-23,0.0
1417,1997-03-02,0.0
1418,1997-03-09,0.0
1419,1997-03-16,0.0
1420,1997-03-23,0.0
1421,1997-03-30,0.0
1422,1997-04-06,0.0
1423,1997-04-13,0.0
1424,1997-04-20,0.0
1425,1997-04-27,0.0
1426,1997-05-04,0.0
1427,1997-05-11,0.0
1428,1997-05-18,0.0
1429,1997-05-25,0.0
1430,1997-06-01,0.0
1431,1997-06-08,0.0
1432,1997-06-15,0.0
1433,1997-06-22,0.0
1434,1997-06-29,0.0
1435,1997-07-06,0.0
1436,1997-07-13,0.0
1437,1997-07-20,0.0
1438,1997-07-27,0.0
1439,1997-08-03,0.0
1440,1997-08-10,0.0
1441,1997-08-17,0.0
1442,1997-08-24,0.0
1443,1997-08-31,0.0
1444,1997-09-07,0.0
1445,1997-09-14,0.0
1446,1997-09-21,0.0
1447,1997-09-28,0.0
1448,1997-10-05,0.0
1449,1997-10-12,0.0
1450,1997-10-19,0.0
1451,1997-10-26,0.0
1452,1997-11-02,0.0
1453,1997-11-09,0.0
1454,1997-11-16,0.0
1455,1997-11-23,0.0
1456,1997-11-30,0.0
1457,1997-12-07,0.0
1458,1997-12-14,0.0
1459,1997-12-21,0.0
1460,1997-12-28,0.0
1461,1998-01-04,0.0
1462,1998-01-11,0.0
1463,1998-01-18,0.0
1464,1998-01-25,0.0
1465,1998-02-01,0.0
1466,1998-02-08,0.0
1467,1998-02-15,0.0
1468,1998-02-22,0.0
1469,1998-03-01,0.0
1470,1998-03-08,0.0
1471,1998-03-15,0.0
1472,1998-03-22,0.0
1473,1998-03-29,0.0
1474,1998-04-05,0.0
1475,1998-04-12,0.0
1476,1998-04-19,0.0
1477,1998-04-26,0.0
1478,1998-05-03,0.0
1479,1998-05-10,0.0
1480,1998-05-17,0.0
1481,1998-05-24,0.0
1482,1998-05-31,0.0
1483,1998-06-07,0.0
1484,1998-06-14,0.0
1485,1998-06-21,0.0
1486,1998-06-28,0.0
1487,1998-07-05,0.0
1488,1998-07-12,0.0
1489,1998-07-19,0.0
1490,1998-07-26,0.0
1491,1998-08-02,0.0
1492,1998-08-09,0.0
1493,1998-08-16,0.0
1494,1998-08-23,0.0
1495,1998-08-30,0.0
1496,1998-09-06,0.0
1497,1998-09-13,0.0
1498,1998-09-20,0.0
1499,1998-09-27,0.0
1500,1998-10-04,0.0
1501,1998-10-11,0.0
1502,1998-10-18,0.0
1503,1998-10-25,0.0
1504,1998-11-01,0.0
1505,1998-11-08,0.0
1506,1998-11-15,0.0
1507,1998-11-22,0.0
1508,1998-11-29,0.0
1509,1998-12-06,0.0
1510,1998-12-13,0.0
1511,1998-12-20,0.0
1512,1998-12-27,0.0
1513,1999-01-03,0.0
1514,1999-01-10,0.0
1515,1999-01-17,0.0
1516,1999-01-24,0.0
1517,1999-01-31,0.0
1518,1999-02-07,0.0
1519,1999-02-14,0.0
1520,1999-02-21,0.0
1521,1999-02-28,0.0
1522,1999-03-07,0.0
1523,1999-03-14,0.0
1524,1999-03-21,0.0
1525,1999-03-28,0.0
1526,1999-04-04,0.0
1527,1999-04-11,0.0
1528,1999-04-18,0.0
1529,1999-04-25,0.0
1530,1999-05-02,0.0
1531,1999-05-09,0.0
1532,1999-05-16,0.0
1533,1999-05-23,0.0
1534,1999-05-30,0.0
1535,1999-06-06,0.0
1536,1999-06-13,0.0
1537,1999-06-20,0.0
1538,1999-06-27,0.0
1539,1999-07-04,0.0
1540,1999-07-11,0.0
1541,1999-07-18,0.0
1542,1999-07-25,0.0
1543,1999-08-01,0.0
1544,1999-08-08,0.0
1545,1999-08-15,0.0
1546,1999-08-22,0.0
1547,1999-08-29,0.0
1548,1999-09-05,0.0
1549,1999-09-12,0.0
1550,1999-09-19,0.0
1551,1999-09-26,0.0
1552,1999-10-03,0.0
1553,1999-10-10,0.0
1554,1999-10-17,0.0
1555,1999-10-24,0.0
1556,1999-10-31,0.0
1557,1999-11-07,0.0
1558,1999-11-14,0.0
1559,1999-11-21,0.0
1560,1999-11-28,0.0
1561,1999-12-05,0.0
1562,1999-12-12,0.0
1563,1999-12-19,0.0
1564,1999-12-26,0.0
1565,2000-01-02,0.0
1566,2000-01-09,0.0
1567,2000-01-16,0.0
1568,2000-01-23,0.0
1569,2000-01-30,0.0
1570,2000-02-06,0.0
1571,2000-02-13,0.0
1572,2000-02-20,0.0
1573,2000-02-27,0.0
1574,2000-03-05,0.0
1575,2000-03-12,0.0
1576,2000-03-19,0.0
1577,2000-03-26,0.0
1578,2000-04-02,0.0
1579,2000-04-09,0.0
1580,2000-04-16,0.0
1581,2000-04-23,0.0
1582,2000-04-30,0.0
1583,2000-05-07,0.0
1584,2000-05-14,0.0
1585,2000-05-21,0.0
1586,2000-05-28,0.0
1587,2000-06-04,0.0
1588,2000-06-11,0.0
1589,2000-06-18,0.0
1590,2000-06-25,0.0
1591,2000-07-02,0.0
1592,2000-07-09,0.0
